# CsI_NaI_neg_08.mzXML, spectra[43] # nice point on chromatogram
204.9308901453327, 34361
205.16015740246476, 10191
188.8991974044173, 1674
129.01592076098714, 310
61.00170193694177, 122
65.00159326982329, 116
208.14225244191456, 1221
215.00463462262692, 21596
50.011132614520875, 5379
239.06590388648888, 7654
