(1, 50, 1497)
(1, 55, 1497)
(3, 55, 1497)
(1, 60, 1496)
(5, 55, 1496)
(1, 45, 1495)
(10, 55, 1493)
(3, 50, 1491)
(15, 55, 1491)
(20, 55, 1490)
(25, 55, 1488)
(1, 40, 1487)
(3, 60, 1486)
(1, 35, 1485)
(1, 70, 1485)
(30, 55, 1483)
(5, 50, 1482)
(1, 30, 1480)
(3, 45, 1477)
(35, 55, 1477)
(5, 60, 1476)
(1, 25, 1471)
(50, 55, 1449)
(1, 20, 1448)
(3, 40, 1443)
(10, 50, 1433)
(5, 45, 1432)
(1, 15, 1415)
(60, 55, 1414)
(3, 70, 1399)
(3, 35, 1394)
(70, 55, 1390)
(10, 60, 1384)
(80, 55, 1352)
(1, 10, 1342)
(15, 50, 1341)
(90, 55, 1322)
(5, 40, 1309)
(3, 30, 1282)
(15, 60, 1212)
(20, 50, 1172)
(5, 70, 1161)
(10, 45, 1148)
(3, 25, 1137)
(5, 35, 1129)
(1, 5, 1118)
(25, 50, 1022)
(20, 60, 996)
(3, 20, 965)
(5, 30, 927)
(30, 50, 908)
(15, 45, 856)
(10, 40, 837)
(25, 60, 833)
(3, 15, 787)
(35, 50, 780)
(5, 25, 759)
(30, 60, 710)
(10, 70, 656)
(20, 45, 648)
(10, 35, 628)
(35, 60, 618)
(3, 10, 611)
(5, 20, 611)
(1, 1, 569)
(15, 40, 563)
(50, 50, 544)
(25, 45, 532)
(5, 15, 479)
(10, 30, 473)
(60, 50, 458)
(15, 70, 445)
(30, 45, 444)
(20, 40, 431)
(50, 60, 428)
(15, 35, 425)
(3, 5, 414)
(70, 50, 405)
(10, 25, 395)
(35, 45, 387)
(5, 10, 373)
(60, 60, 365)
(80, 50, 364)
(25, 40, 350)
(20, 70, 340)
(15, 30, 332)
(20, 35, 319)
(70, 60, 313)
(90, 50, 313)
(10, 20, 310)
(30, 40, 291)
(80, 60, 284)
(50, 45, 270)
(25, 70, 269)
(15, 25, 260)
(25, 35, 259)
(5, 5, 254)
(35, 40, 252)
(90, 60, 250)
(20, 30, 249)
(10, 15, 246)
(30, 70, 223)
(60, 45, 221)
(30, 35, 216)
(15, 20, 206)
(3, 1, 196)
(25, 30, 195)
(20, 25, 193)
(35, 70, 189)
(70, 45, 188)
(10, 10, 183)
(35, 35, 181)
(50, 40, 176)
(30, 30, 166)
(80, 45, 166)
(15, 15, 158)
(25, 25, 157)
(20, 20, 156)
(90, 45, 144)
(35, 30, 140)
(60, 40, 139)
(50, 70, 127)
(30, 25, 123)
(10, 5, 121)
(15, 10, 118)
(50, 35, 118)
(25, 20, 116)
(20, 15, 115)
(70, 40, 110)
(5, 1, 102)
(35, 25, 97)
(60, 70, 96)
(80, 40, 94)
(60, 35, 89)
(30, 20, 87)
(50, 30, 81)
(25, 15, 80)
(70, 70, 79)
(90, 40, 78)
(70, 35, 70)
(20, 10, 68)
(35, 20, 64)
(80, 70, 63)
(15, 5, 56)
(30, 15, 56)
(60, 30, 56)
(80, 35, 55)
(50, 25, 52)
(90, 70, 51)
(25, 10, 48)
(90, 35, 48)
(70, 30, 47)
(35, 15, 42)
(60, 25, 37)
(80, 30, 33)
(30, 10, 31)
(50, 20, 31)
(20, 5, 30)
(70, 25, 25)
(90, 30, 24)
(60, 20, 20)
(35, 10, 19)
(10, 1, 17)
(25, 5, 17)
(50, 15, 16)
(80, 25, 16)
(60, 15, 14)
(70, 20, 14)
(90, 25, 14)
(30, 5, 13)
(80, 20, 13)
(50, 10, 10)
(15, 1, 9)
(35, 5, 9)
(70, 15, 9)
(90, 20, 9)
(50, 5, 7)
(60, 10, 7)
(70, 10, 7)
(80, 15, 7)
(90, 15, 7)
(20, 1, 6)
(80, 10, 6)
(25, 1, 4)
(30, 1, 4)
(60, 5, 4)
(90, 10, 4)
(70, 5, 3)
(80, 5, 3)
(35, 1, 2)
(90, 5, 2)
(50, 1, 1)
(60, 1, 1)
(70, 1, 1)
(80, 1, 0)
(90, 1, 0)
