(1, 55, 1213)
(3, 55, 1213)
(1, 50, 1212)
(1, 60, 1212)
(5, 55, 1210)
(3, 60, 1207)
(1, 45, 1205)
(1, 40, 1201)
(1, 70, 1200)
(10, 55, 1200)
(3, 50, 1198)
(5, 60, 1196)
(1, 35, 1189)
(15, 55, 1186)
(1, 30, 1176)
(5, 50, 1176)
(20, 55, 1173)
(3, 45, 1172)
(10, 60, 1162)
(25, 55, 1159)
(1, 25, 1155)
(30, 55, 1143)
(3, 40, 1132)
(35, 55, 1123)
(3, 70, 1122)
(1, 20, 1121)
(5, 45, 1121)
(15, 60, 1097)
(10, 50, 1092)
(3, 35, 1073)
(50, 55, 1062)
(1, 15, 1060)
(20, 60, 1041)
(5, 40, 1027)
(60, 55, 1015)
(5, 70, 1001)
(15, 50, 995)
(3, 30, 993)
(25, 60, 978)
(70, 55, 971)
(1, 10, 959)
(80, 55, 941)
(10, 45, 937)
(5, 35, 925)
(90, 55, 913)
(30, 60, 912)
(20, 50, 898)
(3, 25, 896)
(35, 60, 850)
(25, 50, 801)
(5, 30, 799)
(3, 20, 778)
(15, 45, 769)
(10, 40, 766)
(10, 70, 742)
(30, 50, 728)
(1, 5, 716)
(50, 60, 705)
(5, 25, 680)
(35, 50, 670)
(20, 45, 668)
(3, 15, 657)
(10, 35, 643)
(60, 60, 620)
(15, 40, 603)
(5, 20, 575)
(25, 45, 569)
(15, 70, 568)
(70, 60, 567)
(50, 50, 530)
(10, 30, 529)
(80, 60, 528)
(3, 10, 524)
(20, 40, 513)
(30, 45, 509)
(15, 35, 494)
(90, 60, 491)
(20, 70, 480)
(5, 15, 473)
(60, 50, 469)
(35, 45, 459)
(10, 25, 433)
(25, 40, 429)
(70, 50, 425)
(25, 70, 413)
(20, 35, 409)
(15, 30, 404)
(30, 40, 385)
(80, 50, 382)
(5, 10, 363)
(30, 70, 362)
(10, 20, 356)
(50, 45, 349)
(90, 50, 344)
(25, 35, 340)
(3, 5, 339)
(35, 40, 337)
(35, 70, 327)
(15, 25, 325)
(20, 30, 325)
(60, 45, 311)
(30, 35, 302)
(1, 1, 294)
(10, 15, 283)
(25, 30, 279)
(70, 45, 275)
(35, 35, 268)
(15, 20, 259)
(20, 25, 257)
(50, 40, 257)
(50, 70, 253)
(80, 45, 243)
(30, 30, 237)
(60, 40, 230)
(90, 45, 229)
(5, 5, 225)
(25, 25, 222)
(60, 70, 220)
(20, 20, 214)
(35, 30, 213)
(15, 15, 211)
(10, 10, 210)
(50, 35, 207)
(70, 40, 207)
(30, 25, 195)
(70, 70, 194)
(80, 40, 185)
(60, 35, 181)
(25, 20, 180)
(80, 70, 180)
(20, 15, 174)
(35, 25, 174)
(90, 40, 169)
(50, 30, 168)
(90, 70, 165)
(70, 35, 162)
(15, 10, 161)
(30, 20, 160)
(80, 35, 151)
(60, 30, 148)
(25, 15, 144)
(10, 5, 141)
(35, 20, 140)
(50, 25, 134)
(20, 10, 133)
(90, 35, 131)
(70, 30, 130)
(30, 15, 129)
(3, 1, 127)
(60, 25, 118)
(80, 30, 117)
(35, 15, 115)
(25, 10, 111)
(50, 20, 107)
(90, 30, 107)
(70, 25, 102)
(15, 5, 98)
(60, 20, 92)
(80, 25, 92)
(30, 10, 91)
(5, 1, 82)
(20, 5, 79)
(50, 15, 79)
(90, 25, 78)
(35, 10, 76)
(70, 20, 76)
(80, 20, 66)
(60, 15, 65)
(90, 20, 58)
(25, 5, 57)
(70, 15, 54)
(50, 10, 48)
(30, 5, 46)
(80, 15, 41)
(60, 10, 39)
(90, 15, 34)
(35, 5, 33)
(70, 10, 28)
(10, 1, 27)
(80, 10, 22)
(90, 10, 16)
(50, 5, 15)
(15, 1, 9)
(60, 5, 8)
(70, 5, 6)
(80, 5, 5)
(90, 5, 4)
(20, 1, 3)
(25, 1, 3)
(30, 1, 1)
(35, 1, 1)
(50, 1, 1)
(60, 1, 1)
(70, 1, 0)
(80, 1, 0)
(90, 1, 0)
