Gauss, Lorenz, Voigt, Pearson, Damped Oscillator, Skewed Gauss, Skewed Voigt, Donaich
40, 39, 24, 17, 62, 68, 97, 129 (476 out of 500)
20.39301508940588, 32.54205303900071, 32.82302587025741, 25.618544729969212, 66.24399917626845, 24.206825864039665, 18.203082791198298, 25.075398305468138

Gauss, Lorenz, Voigt, Pearson, Damped Oscillator, Skewed Gauss, Skewed Voigt, Donaich
59, 37, 24, 20, 62, 47, 92, 140 (481 out of 500)
45.37183642606848, 26.65088280825845, 35.70040706615933, 24.340532552982914, 45.213574629029, 50.53744778565081, 38.44964975170586, 17.990669701488702

Gauss, Lorenz, Voigt, Pearson, Damped Oscillator, Skewed Gauss, Skewed Voigt, Donaich
47, 42, 27, 15, 69, 60, 92, 123 (475 out of 500)
486.1946296668626, 1669.3382562410807, 835.0427357734085, 1618.8747605757849, 3292.0721077167173, 20.663136457120988, 609.6152813313724, 998.7306855117782

Gauss, Lorenz, Voigt, Pearson, Damped Oscillator, Skewed Gauss, Skewed Voigt, Donaich
51, 36, 20, 13, 75, 51, 86, 136 (468 out of 500)
21.216281342313696, 69.13806868863118, 37.631313984174035, 170.88615304795556, 233.31959680527703, 17.395170470893202, 163.44788377977167, 34.705805328319606

Gauss, Lorenz, Voigt, Pearson, Damped Oscillator, Skewed Gauss, Skewed Voigt, Donaich
31, 44, 29, 23, 77, 63, 74, 138 (479 out of 500)
2062.8649054326575, 10897.14371730283, 5148.601227631646, 3261.7813144766355, 21242.88326825445, 1728.1616435286915, 3533.604866020559, 11751.05642747413

Gauss, Lorenz, Voigt, Pearson, Damped Oscillator, Skewed Gauss, Skewed Voigt, Donaich
56, 36, 25, 22, 63, 50, 94, 139 (485 out of 500)
6.106203331426584, 9.650142235372739, 4.663621789438817, 5.134564284868708, 49.11976608162801, 5.280551021398875, 2.593822055747883, 4.933268693607953

Gauss, Lorenz, Voigt, Pearson, Damped Oscillator, Skewed Gauss, Skewed Voigt, Donaich
53, 34, 23, 19, 60, 62, 79, 149 (479 out of 500)
13.348592768667412, 18.798024329156192, 13.540343804327286, 15.295693120770942, 114.92857520860068, 7.462834137624271, 5.7125782117364645, 6.9267891703184805

Gauss, Lorenz, Voigt, Pearson, Damped Oscillator, Skewed Gauss, Skewed Voigt, Donaich
55, 31, 27, 23, 63, 59, 92, 130 (480 out of 500)
1.1716882850576167, 1.6508008969519972, 1.9547166233470452, 606.5538216220586, 12.22082317877591, 1.2096087882661342, 605.1163193389301, 1.0156633197652627

Gauss, Lorenz, Voigt, Pearson, Damped Oscillator, Skewed Gauss, Skewed Voigt, Donaich
61, 35, 25, 15, 71, 57, 84, 130 (478 out of 500)
10.429501698404312, 15.890710350355087, 45.60532106072281, 46.33492521378692, 48.85904196666172, 6.556994197925576, 3.8339172354296767, 7.180233401178839

Gauss, Lorenz, Voigt, Pearson, Damped Oscillator, Skewed Gauss, Skewed Voigt, Donaich
37, 35, 13, 22, 65, 62, 86, 158 (478 out of 500)
68.01108973880157, 66.50780296933067, 66.53325277654798, 62.24424635891742, 138.150460949242, 110.21582267707778, 57.78009707275312, 38.54789099457882
